location_name,lower_prob,mean_prob,upper_prob,lower_prob_sept,mean_prob_sept,upper_prob_sept
Alabama,0.0036951128950703334,0.008246849936240128,0.016964878546780807,0.004889040738449927,0.006226825539448794,0.007952445156882985
Alaska,0.0006722727776920638,0.004051778552824015,0.011991214880569772,0.0008842241183672089,0.001531991298139309,0.0025282837535567774
Arizona,0.00892220387106617,0.017589648528824508,0.032168492692738304,0.008343987487347762,0.010575534170701105,0.013167478383791557
Arkansas,0.003227777341391601,0.00849257270408216,0.016335291477538347,0.005880330737921085,0.007365995027533519,0.009046418887801414
California,0.0025568290404393017,0.004207319265624206,0.006622912587197505,0.0033956015431376757,0.0041093484319571485,0.004900417974174412
Colorado,0.000844298608542073,0.00212891313476605,0.004811898716986126,0.0008748070057581817,0.0011754726482985278,0.0015496880806494947
Connecticut,0.0004149349921942985,0.0007151883131524799,0.0010887699720100537,0.00024118867068674592,0.0003196256320592751,0.00041681965063094297
Delaware,0.003982906934900283,0.00536570835415946,0.007330113755012632,0.0019138325083208891,0.0025697560749287237,0.0033765195638282403
District of Columbia,0.0010607123017339524,0.0013899546458464695,0.0019166281384736421,0.0012337309091744817,0.0015046050086428917,0.0018248040436681704
Florida,0.004389778665890739,0.007606133238091852,0.011560850267198847,0.006740812042792264,0.008072096506597043,0.009691962203713017
Georgia,0.006751490813273735,0.012551513904087841,0.0209596862185882,0.008801869324765189,0.011072027949878936,0.01375883235769284
Hawaii,0.0011278668286101904,0.0017769861963164927,0.0024882694912862296,0.001660529665764714,0.002393271820486435,0.0033970828497320413
Idaho,0.0012775570994707228,0.0032844406405938844,0.00795133538539445,0.0028428307988400837,0.0037556559202321957,0.0049066121941749585
Illinois,0.002680570197481731,0.004173047974246016,0.006267292832264788,0.0024200521912629866,0.0028270464790288406,0.00328094481007764
Indiana,0.0018097858310579115,0.002997419936073069,0.0043083103566796,0.0023880381939414786,0.0027784843049313357,0.0031931667377870245
Iowa,0.0013894923208058862,0.0035698941976706933,0.007828171404105966,0.0027807363127071026,0.0035167811905007615,0.00439262469923772
Kansas,0.0009147222978331413,0.0021180531221791994,0.0047029377507342785,0.0022214501910708317,0.0031666979239419065,0.004365201137711868
Kentucky,0.0011261699109809567,0.0025893371290098225,0.004560011643247853,0.0030051758688472386,0.00395981508520043,0.0051710955697321604
Louisiana,0.003356389783515419,0.006177711827766243,0.011415291915938116,0.007984885443245503,0.00972181532118847,0.011701913836628277
Maine,0.00011913229906112882,0.0003126205621525139,0.0005324404012667902,0.0002098000752243523,0.0002939068410885986,0.000401937401638709
Maryland,0.0018238978385231128,0.0029496539691440645,0.004284364861525139,0.0018461630518107925,0.002145985222988526,0.002484779583672867
Massachusetts,0.0013684176683571424,0.0022861738743818224,0.0035644963724346945,0.0016269813039183753,0.0019466330792500496,0.0023271340099765155
Michigan,0.0017467610874336913,0.003116458613002789,0.005284754460793624,0.0011202817706052013,0.0013891783451973384,0.0016843485400342539
Minnesota,0.0013561014175235452,0.0023263392091108625,0.004097409554392138,0.0015457361813080942,0.0018280896999250398,0.002148133767808606
Mississippi,0.00792498272159396,0.01592525034024211,0.032203190640570756,0.010859640286120754,0.013397486000081034,0.016237510066266274
Missouri,0.003447108293103876,0.008734119593416806,0.01756384983739074,0.0023876374737059835,0.0031230785277736634,0.00401913384490995
Montana,0.0018329083524616277,0.005429863055703425,0.015502392175198044,0.0019620012753747045,0.0028425129309009914,0.004042955604063584
Nebraska,0.0008683737659737798,0.0020634798806986247,0.003534756726627434,0.0014548747321000638,0.0019016504152504026,0.0024268137020754697
Nevada,0.0028078386575912436,0.0055971654892638814,0.010198440896605316,0.0047486416456644035,0.006158009835191342,0.007725816853394113
New Hampshire,0.00010359689490048793,0.00016888837915454664,0.000251646849906532,0.00019061398613417997,0.00025958530546076064,0.00034338475329201857
New Jersey,0.0010572452755218012,0.0023018118699883786,0.005033772755216844,0.000871217585938364,0.0011148705114752905,0.0014232210232094722
New Mexico,0.002305696914890375,0.003729307599284153,0.006242751586330275,0.00201944536486431,0.002411278386545568,0.0028650841445060633
New York,0.0006649566851971183,0.0014067797364593932,0.0029639161247921233,0.0005081042685796141,0.0005732975376423884,0.0006509663623689487
North Carolina,0.003506107733938598,0.005987866277912893,0.00989626930281913,0.0039540236635047365,0.00484573364380024,0.0058461328702881675
North Dakota,0.006297778086792435,0.015154207162422113,0.02898301926897043,0.002286632635798141,0.0032240471267373236,0.004346747230567048
Ohio,0.0015397299178102144,0.0024136871002399017,0.00363385350713988,0.002181732358931851,0.002567541838791244,0.0029857559815812482
Oklahoma,0.00341026969912091,0.0065511489847271745,0.011750885568470334,0.003350883649347161,0.004259898927081341,0.005343980831364645
Oregon,0.000475941304922081,0.0007391526207026032,0.0009948087694633284,0.0011086585899559474,0.001342662279875001,0.0016220036963439783
Pennsylvania,0.0018441488091237212,0.00346019197331008,0.006086280370384098,0.0011323889253140084,0.0013900411415011704,0.0016886321186689907
Puerto Rico,0.001319924191748805,0.0034456392488348923,0.00893758668677388,0.004076283505219889,0.005684979539785587,0.007652450151801237
Rhode Island,0.0035199770796023873,0.0048042972524068965,0.006301433569468547,0.0021408223643552965,0.0026477257070941216,0.0032468307359068242
South Carolina,0.00528909159913725,0.009215558977971208,0.01531810446982046,0.008371135309434846,0.010314251781015837,0.012572937241376907
South Dakota,0.002228147036156278,0.0036626961194114703,0.00552209414040271,0.0014257568397656815,0.001969519786071749,0.0026466665115217956
Tennessee,0.002075924286988985,0.005796490952536505,0.010671941864299308,0.006956142254369739,0.008734825624413719,0.0107659614024474
Texas,0.004984482469764561,0.008346805156430194,0.013396979096637913,0.008552363311560509,0.010356608758453305,0.012611698704543024
