state,students
international,483
AK,2
AL,8
AR,4
AZ,30
CA,551
CO,55
CT,306
DC,38
DE,7
FL,150
GA,41
HI,21
IA,7
ID,7
IL,155
IN,11
KS,12
KY,7
LA,9
MA,1289
MD,136
ME,51
MI,32
MN,47
MO,22
MS,5
MT,6
NC,52
ND,2
NE,8
NH,93
NJ,386
NM,10
NV,9
NY,729
OH,61
OK,5
OR,28
PA,172
PR,14
RI,44
SD,2
SC,10
TN,20
TX,128
UT,10
VA,56
VT,30
WA,85
WI,20
WV,1
WY,3
