location_name,lower_prob,mean_prob,upper_prob,lower_prob_sept,mean_prob_sept,upper_prob_sept
Alabama,0.004201646480807882,0.013455748661329321,0.030691270062214657,0.009470374868580322,0.01670664068355569,0.02503787334151169
Alaska,0.00492683293577292,0.010337914960802138,0.020701870698316575,0.004226636775591385,0.005659802199454578,0.00758934857049122
Arizona,0.0008822468300388654,0.006296975139986896,0.017729920671458996,0.004042048207122216,0.010218280914067686,0.017770755477922826
Arkansas,0.012247125724533467,0.028639202545957258,0.05455167068504117,0.016840979400915366,0.024579015071886708,0.03392814775247167
California,0.0013556716360909383,0.006757929059066102,0.018715323863200507,0.005503168601776721,0.010369456433772406,0.016085106120199817
Colorado,0.0003193712995351758,0.004367494880821068,0.01293727911819538,0.0002873937961385971,0.0036476320498109306,0.008823989326824497
Connecticut,0.00018433298637669283,0.003098081585016859,0.012168291080072934,0.00017701239759940784,0.0018529504076389923,0.006281303580889842
Delaware,0.001268274448428983,0.008926803619768237,0.024475180844639975,0.0014667054851072747,0.009127416910052128,0.019955014767438516
District of Columbia,0.0009165794071263297,0.005530259341493931,0.01840204520303961,0.000892633216625174,0.005382437665515643,0.014802925686044188
Florida,0.005247080965746065,0.013996294162648512,0.028090781864029718,0.010698983323988,0.01641437247322658,0.023474417951947168
Georgia,0.002028446544891354,0.010930413622966702,0.029718190562813593,0.010397657228123998,0.019166359859638257,0.029789851077799193
Hawaii,0.0033341997016679476,0.00844006379107716,0.017359355224201053,0.007878801897346651,0.011221070831261584,0.014960850980879625
Idaho,0.005906136598277063,0.013926284158662388,0.025893755962989592,0.010895910333423799,0.015943488345415528,0.02056082179439472
Illinois,0.0017974508162638978,0.008350950506639889,0.020881148415843313,0.0025918630795053054,0.009238733328067057,0.018098245311388157
Indiana,0.0012912087381589932,0.011247517349034548,0.029636428197003097,0.0016151064010246844,0.00931130953998971,0.018616881744340168
Iowa,0.006047211313853575,0.019839084394324056,0.04581597238730043,0.009679761463295583,0.019934399236783973,0.03343570031726712
Kansas,0.00591146371451893,0.01698968082396886,0.03486137264984138,0.008381666033939356,0.01438621102977571,0.021176253229140424
Kentucky,0.0042001787060064605,0.012106078488734516,0.024697700570296893,0.006362344558341669,0.011167032591686991,0.016293957726986733
Louisiana,0.0029418059823687606,0.010219306340526167,0.02436918585766545,0.008031394809062306,0.015541960990312752,0.024797140935907246
Maine,0.0003237584547675515,0.0015047663612584921,0.004550509889809048,0.0003136410030560656,0.0008593138582306957,0.0016616798540706375
Maryland,0.0007207832700374483,0.006646560023024704,0.019009267774675473,0.0012125724484259835,0.007730648165301505,0.017873179691945323
Massachusetts,0.00043941221353113676,0.0053393520467093026,0.014795782461030485,0.0007541055839946678,0.00498844541670856,0.010801373608397414
Michigan,0.0007870819618224232,0.0046722707654670535,0.011962935385977789,0.0010403273021732465,0.0049068015092235745,0.01033986218086431
Minnesota,0.0022008572545158976,0.011887393539152911,0.029569216572996253,0.002439937570394664,0.009581631390133256,0.01794025744942223
Mississippi,0.00392069583881721,0.012827146759117235,0.03054217043568719,0.012431190441069986,0.021062453526352345,0.03206267562544751
Missouri,0.009705119962303426,0.02499192658553387,0.04856769806505266,0.01058135020076814,0.017241623852858233,0.02530067969840135
Montana,0.00825370189131887,0.01668695463417099,0.027288899097848193,0.007362660908065099,0.009640332229892455,0.012168897563385472
Nebraska,0.004313425606180288,0.015133144093696883,0.033837354891005415,0.0053546356301256,0.011162639939454346,0.017386546685084013
Nevada,0.0025338895172841895,0.0097951126501385,0.024606505319860427,0.008805633545833393,0.015424754460488365,0.023463154138946205
New Hampshire,0.0001800382581298526,0.0014368862206748344,0.006342671347073018,0.0001774457954668308,0.0010200697059889934,0.0027673527683456265
New Jersey,9.151740730608105e-05,0.0028860084055846585,0.012391330291290773,0.00011571189087375972,0.002380558736077477,0.009168155601265004
New Mexico,0.001568237085618331,0.007225839589208276,0.01903947579893258,0.0037774658782380446,0.007740247297228339,0.012720338663763235
New York,9.917464468330503e-05,0.0030727703272424014,0.016958523686228966,7.184288778799932e-05,0.0024140310352433673,0.012985594257010324
North Carolina,0.0054306749450137885,0.015119448890760218,0.03111993572896632,0.0098162328791417,0.015272350984221713,0.021439032620257426
North Dakota,0.021333041143633984,0.04267730184683136,0.0776832790507859,0.0170343423500975,0.023777756927914003,0.030800577905734705
Ohio,0.002089358889905981,0.008658557972812278,0.02053969082307449,0.0029246028351198987,0.007713579317483809,0.013051498832245427
Oklahoma,0.006490690732886341,0.016031176372027996,0.03082683699223471,0.009009264915006957,0.013252371574115655,0.018063387373827098
Oregon,0.0016205965426483444,0.005592157595411947,0.012501544074464578,0.0033114381005738386,0.005305060509936965,0.007395909228100284
Pennsylvania,0.001013510478723267,0.006616440617157224,0.017073671130322016,0.0012439649026413004,0.00524952802255962,0.01077329663382776
Puerto Rico,0.006574142669898871,0.014678386532961519,0.026866240159514342,0.011666936469179576,0.01556164272469435,0.01998532890126606
