State,Students
international,257
AK,2
AL,4
AR,3
AZ,18
CA,327
CO,36
CT,170
DC,19
DE,4
FL,89
GA,24
HI,14
IA,2
ID,5
IL,88
IN,7
KS,8
KY,3
LA,7
MA,731
MD,78
ME,34
MI,24
MN,34
MO,14
MS,4
MT,3
NC,35
ND,1
NE,6
NH,58
NJ,205
NM,5
NV,7
NY,424
OH,33
OK,3
OR,11
PA,96
PR,9
RI,28
SD,3
SC,7
TN,7
TX,66
UT,7
VA,29
VT,13
WA,51
WI,14
WY,2
