state,students
international,525
AK,2
AL,8
AR,4
AZ,30
CA,547
CO,55
CT,298
DC,37
DE,7
FL,148
GA,41
HI,21
IA,7
ID,7
IL,151
IN,11
KS,12
KY,7
LA,9
MA,1256
MD,135
ME,51
MI,32
MN,47
MO,21
MS,5
MT,5
NC,50
ND,2
NE,8
NH,90
NJ,376
NM,9
NV,9
NY,715
OH,58
OK,5
OR,27
PA,170
PR,14
RI,44
SD,2
SC,10
TN,20
TX,127
UT,10
VA,52
VT,30
WA,82
WI,20
WY,3
