location_name,lower_prob,mean_prob,upper_prob,lower_prob_sept,mean_prob_sept,upper_prob_sept
Alabama,0.0037972715693982573,0.012345404058790357,0.027541297136453143,0.0093133136930383,0.017142852044130498,0.026258391229374373
Alaska,0.004911727918309879,0.009719873691980671,0.018792692178881684,0.004233437450874519,0.005827768626673683,0.008255609702752393
Arizona,0.002422374025532247,0.010274843080174708,0.02642209471806638,0.006677021513544214,0.013630664580035192,0.02301153142786016
Arkansas,0.012839278163856901,0.030147882367443344,0.05974781662427382,0.02090844037584946,0.030752477629428544,0.04357179094467368
California,0.004043048273948038,0.012263047057615563,0.028184160886113644,0.009154189451704603,0.015451236443973297,0.02310918636493826
Colorado,0.00031450912144609513,0.004232039808735806,0.012785092944007159,0.00027987044379183216,0.0036797701787336665,0.009064589000086129
Connecticut,0.00020598622214705294,0.0026488260271893957,0.010311196546028412,0.00021568389865949083,0.0019031146721147556,0.0064799201298521006
Delaware,0.001182473371371297,0.00816301485780949,0.024024686679729377,0.0012148734190214467,0.00821988181941415,0.01934755238435596
District of Columbia,0.0008349994119722451,0.0044848451786683365,0.013562824743641151,0.0008576703615591379,0.0054263272069815195,0.01523292983766183
Florida,0.004941613494941297,0.014439064273857157,0.030355624756928528,0.010272321753451026,0.01631729637065581,0.02380697044572247
Georgia,0.005915611537752615,0.01682421195802409,0.035849139193192166,0.013521322452726995,0.022232141452780022,0.03292463011033846
Hawaii,0.0035426224969488766,0.008429098816842201,0.01778644185350088,0.006947008627898567,0.010172918173394207,0.014043995502418298
Idaho,0.005007973968490235,0.012037320970417976,0.023543925374846467,0.010732318074608367,0.015919132767974305,0.021072834507978165
Illinois,0.001451571167237921,0.0076427630251405835,0.021170791080461125,0.0018269789322308137,0.008391236744900358,0.017454882767046664
Indiana,0.0006717435959822459,0.008968220582247843,0.02497397589115862,0.0008116751698065672,0.007862121686772224,0.018295787763291715
Iowa,0.004923630854465987,0.015915296649519663,0.03595215003153654,0.008199786375579624,0.017873502014218383,0.030419974834155827
Kansas,0.005393651353750402,0.015913646795367754,0.03275301769737144,0.007774393697349481,0.013493379017847027,0.020162322015409254
Kentucky,0.004004137053002761,0.012291555357789164,0.025935151252117154,0.006107206145122976,0.011220578363725366,0.016656170897019543
Louisiana,0.0029358689587019775,0.010972329597740834,0.026394200302271943,0.007915520670522291,0.015906776036967867,0.026512580467106098
Maine,0.0004201532198790072,0.0017114301910710515,0.004509091571865152,0.00040122019443361616,0.0010883885875144696,0.0021314532231523
Maryland,0.0008010389236611928,0.007152466720038111,0.02085118630162364,0.0013025705958634927,0.008064312037686414,0.01900425593150812
Massachusetts,0.0003120383117715001,0.003343077979073785,0.009559596854727521,0.0003991982303090764,0.004148819376647351,0.009705262369853161
Michigan,0.0004720253829608254,0.003983978643130668,0.011799004932182366,0.0005694584392266757,0.003853825082305675,0.008279892262400472
Minnesota,0.0017586830133597372,0.010162232216570158,0.0241862811261444,0.0020771213440876997,0.008722900714089146,0.0172379509868729
Mississippi,0.004238463867232454,0.014553942023736041,0.034929610379050235,0.012414709411390357,0.02256785530563154,0.034509663326668126
Missouri,0.007353002756203414,0.0177424566121183,0.03358362819083172,0.008008150971384104,0.013076951778497443,0.01939428454394903
Montana,0.007390636783317022,0.014874534281207134,0.026359566720123358,0.007060680515504623,0.009602882918622949,0.013142369135592235
Nebraska,0.00412325114453621,0.0128924456474539,0.02775104838276103,0.004874411189366462,0.010414697933424593,0.0166486465109739
Nevada,0.0030142223315961923,0.010467042903021796,0.02413193520068464,0.008722058233414152,0.015704813327636652,0.02398495400882293
New Hampshire,0.00011096107922933624,0.0008138861861086657,0.003994745942336276,0.00015157632761667736,0.000873108329637695,0.0024581326473051995
New Jersey,8.976952756020757e-05,0.0027816253649156344,0.012074888062516114,0.00011552049663427599,0.002468791480479476,0.009427441317963253
New Mexico,0.002757008320659434,0.009619096263929962,0.02314448388495199,0.004321406275857496,0.009241394982614226,0.015735820612935054
New York,6.242430370460194e-05,0.002247717011810845,0.013971463887768413,5.1473866404202295e-05,0.0018717627070951176,0.011077759747945377
